Alive,Dead,Stump,Poor,Good,Fair
313,3299,146,136,191,2251,857
112,6745,267,170,523,4697,1525
111,4465,186,156,287,3290,888
316,2065,60,43,79,1687,299
101,2289,65,35,124,1749,416
228,35,0,1,4,26,5
209,9514,173,170,268,8209,1037
318,10100,191,383,611,7578,1911
355,556,1,18,18,407,131
109,4755,154,78,263,3667,825
203,4609,184,114,164,3876,569
307,3697,45,87,144,3005,548
205,4427,202,84,209,3382,836
481,199,1,7,9,140,50
312,5303,68,149,266,4131,906
503,48559,766,1208,2299,38583,7676
410,3136,116,91,157,2385,594
108,8471,183,196,677,6061,1733
413,10495,153,449,554,7793,2148
311,3895,62,78,156,3152,587
308,3708,41,91,158,2813,737
110,5630,165,73,267,4419,944
206,4682,207,73,257,3451,974
302,7795,118,159,287,6083,1425
595,73,3,0,18,28,27
212,10464,228,348,320,9007,1137
164,932,2,1,8,885,39
105,2012,96,29,136,1355,521
207,4995,135,160,207,4025,763
502,23592,423,313,962,19065,3565
484,170,6,56,82,13,75
317,1653,38,56,91,1313,249
309,1043,12,10,25,741,277
409,3196,73,122,196,2315,685
402,6081,128,115,338,4671,1072
301,11725,348,177,403,9785,1537
106,4864,103,94,271,3701,892
305,15610,461,213,755,12485,2370
201,4494,198,112,229,3450,815
501,23851,563,378,807,20369,2675
406,8321,115,337,304,6665,1352
107,8326,128,114,320,6775,1231
211,9478,269,331,339,8042,1097
103,4700,154,74,262,3591,847
414,10731,396,556,1020,6975,2736
102,4829,121,65,274,3528,1027
104,4419,177,108,197,3643,579
405,8216,176,346,581,5917,1718
407,8537,162,359,340,6499,1698
408,4026,54,113,114,3251,661
403,8147,153,228,369,6439,1339
401,10429,188,290,406,8532,1491
202,4673,232,82,194,3871,608
314,6394,72,200,359,5057,978
304,5017,166,101,257,3789,971
411,7326,88,242,387,5598,1341
482,116,0,3,5,93,18
210,10670,176,214,284,9361,1025
310,1827,44,62,120,1327,380
208,5584,140,135,203,4575,806
204,5980,355,220,361,4522,1097
315,11125,210,491,614,8155,2356
303,6418,98,83,187,5107,1124
227,210,6,12,26,169,15
226,217,6,17,3,191,23
356,24,0,0,1,17,6
480,77,9,0,6,63,8
412,2329,38,103,85,1864,380
306,9198,159,182,410,7259,1529
404,5968,113,168,303,4660,1005
status,0,0,0,0,0,0
